League,Name,Position,Team,Age,Market Value
Premier League,N/A,,N/A,Left-Back,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Defensive Midfield,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Right-Back,N/A
La Liga,N/A,,N/A,Left-Back,N/A
La Liga,N/A,,N/A,Defensive Midfield,N/A
La Liga,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Defensive Midfield,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Right Midfield,N/A
La Liga,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Left-Back,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Right-Back,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Right-Back,N/A
La Liga,N/A,,N/A,Defensive Midfield,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Left-Back,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Central Midfield,N/A
La Liga,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Defensive Midfield,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Defensive Midfield,N/A
La Liga,N/A,,N/A,Centre-Back,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Goalkeeper,N/A
La Liga,N/A,,N/A,Left Winger,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Attacking Midfield,N/A
La Liga,N/A,,N/A,Left-Back,N/A
La Liga,N/A,,N/A,Left-Back,N/A
La Liga,N/A,,N/A,Right Winger,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Centre-Forward,N/A
La Liga,N/A,,N/A,Right-Back,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Right-Back,N/A
Ligue 1,N/A,,N/A,Defensive Midfield,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Left-Back,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Goalkeeper,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Defensive Midfield,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Goalkeeper,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Left-Back,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Attacking Midfield,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Attacking Midfield,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Goalkeeper,N/A
Ligue 1,N/A,,N/A,Goalkeeper,N/A
Ligue 1,N/A,,N/A,Goalkeeper,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Right-Back,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Attacking Midfield,N/A
Ligue 1,N/A,,N/A,Defensive Midfield,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Attacking Midfield,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Goalkeeper,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Right Midfield,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Left-Back,N/A
Ligue 1,N/A,,N/A,Left Midfield,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Left-Back,N/A
Ligue 1,N/A,,N/A,Goalkeeper,N/A
Ligue 1,N/A,,N/A,Right-Back,N/A
Ligue 1,N/A,,N/A,Defensive Midfield,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Defensive Midfield,N/A
Ligue 1,N/A,,N/A,Right-Back,N/A
Ligue 1,N/A,,N/A,Attacking Midfield,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Right Winger,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Left-Back,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Right-Back,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Right-Back,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Defensive Midfield,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Left Winger,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Left-Back,N/A
Ligue 1,N/A,,N/A,Centre-Back,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Goalkeeper,N/A
Ligue 1,N/A,,N/A,Centre-Forward,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Ligue 1,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Left Winger,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Second Striker,N/A
Serie A,N/A,,N/A,Left-Back,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Left Winger,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Attacking Midfield,N/A
Serie A,N/A,,N/A,Left-Back,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Left-Back,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Attacking Midfield,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Defensive Midfield,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Attacking Midfield,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Defensive Midfield,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Left Winger,N/A
Serie A,N/A,,N/A,Defensive Midfield,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Defensive Midfield,N/A
Serie A,N/A,,N/A,Right-Back,N/A
Serie A,N/A,,N/A,Defensive Midfield,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Second Striker,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Left-Back,N/A
Serie A,N/A,,N/A,Goalkeeper,N/A
Serie A,N/A,,N/A,Defensive Midfield,N/A
Serie A,N/A,,N/A,Goalkeeper,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Second Striker,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Right-Back,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Right Midfield,N/A
Serie A,N/A,,N/A,Left-Back,N/A
Serie A,N/A,,N/A,Left Winger,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Left Midfield,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Attacking Midfield,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Left-Back,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Goalkeeper,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Centre-Back,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Goalkeeper,N/A
Serie A,N/A,,N/A,Right Winger,N/A
Serie A,N/A,,N/A,Central Midfield,N/A
Serie A,N/A,,N/A,Attacking Midfield,N/A
Serie A,N/A,,N/A,Defensive Midfield,N/A
Serie A,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Right Winger,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Right Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Left Winger,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
Bundesliga,N/A,,N/A,Left-Back,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Left-Back,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Goalkeeper,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Right Winger,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
Bundesliga,N/A,,N/A,Right Winger,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Left Winger,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Left Winger,N/A
Bundesliga,N/A,,N/A,Right-Back,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Right-Back,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Left-Back,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Left Winger,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Left Winger,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Right Winger,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Left-Back,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Right Winger,N/A
Bundesliga,N/A,,N/A,Right-Back,N/A
Bundesliga,N/A,,N/A,Right-Back,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Right Midfield,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Left Winger,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Second Striker,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Right-Back,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
Bundesliga,N/A,,N/A,Left Winger,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Second Striker,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Right-Back,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Right Winger,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Goalkeeper,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Centre-Back,N/A
Bundesliga,N/A,,N/A,Centre-Forward,N/A
Bundesliga,N/A,,N/A,Left-Back,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Central Midfield,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
Bundesliga,N/A,,N/A,Attacking Midfield,N/A
Bundesliga,N/A,,N/A,Right Winger,N/A
Bundesliga,N/A,,N/A,Goalkeeper,N/A
Bundesliga,N/A,,N/A,Left-Back,N/A
Bundesliga,N/A,,N/A,Defensive Midfield,N/A
